FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,TipoAccidente,Resultado,Temperatura
2/12/2019,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,2/12/2019,14.25057268,-91.22532196,Volcadura,1, 27.88 
5/16/2021,Mecanizado,Entrada A Finca Peten,14.30104328,-91.38084568,Ruta 3,Zona 3,5/15/2021,14.29341916,-91.37085435,Colisión,1, 23.90 
11/28/2020,Granel,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,Zona 2,11/28/2020,14.3570372,-91.01219035,Volcadura,1, 28.23 
3/18/2019,Mecanizado,Entrada cañeros Ingenio Concepción,14.32673784,-90.79644489,Ruta 1,Zona 1,3/18/2019,14.32831518,-91.02121374,Colisión,1, 28.57 
2/1/2019,Vacío,Linea A3 La Maquina,14.3675623,-91.554042,Ruta 3,Zona 3,2/1/2019,14.28048145,-91.64220467,Colisión,1, 23.20 
12/5/2018,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,Zona 3,12/5/2018,14.56515836,-91.68637789,Volcadura,1, 26.86 
12/26/2018,Granel,Casco Tehuantepec,14.1708,-91.1026,Ruta Interna,Zona 2,12/26/2018,14.13523684,-90.98674637,Otro,1, 25.2 
3/13/2021,Vacío,Entrada Principal Ingenio Santa Ana,14.26951288,-90.82747751,Ruta 2,Zona 2,3/13/2021,14.26475542,-90.83840474,Volcadura,1, 26.83 
2/4/2020,Granel,Entrada Finca Concepción,14.54190848,-91.57894764,Ruta 3,Zona 3,2/4/2020,14.54261892,-91.5872954,Colisión,1, 25.50 
2/6/2021,Vacío,Cuesta De Palafox,14.46266878,-91.3925105,Ruta 3,Zona 3,2/6/2021,14.48055088,-91.3961231,Colisión,1, 26.14 
4/24/2019,Mecanizado,"Circunvalación Reu, Restaurante Flor Azul",14.53393866,-91.67397993,Ruta 3,Zona 3,4/24/2019,14.53187979,-91.6780509,Otro,1, 26.81 
11/25/2018,Granel,Entrada A Caballo Blanco,14.42019864,-91.81868845,Ruta 3,Zona 3,11/25/2018,14.41792296,-91.82151737,Colisión,1, 23.38 
1/19/2020,Granel,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,Zona 2,1/19/2020,14.21238938,-91.22757454,Volcadura,1, 23.58 
12/17/2020,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,Zona 3,12/17/2020,14.56946459,-91.6667754,Colisión,1, 28.31 
4/24/2021,Granel,Puente Pepsi,14.2825607,-90.78731383,Ruta 1,Zona 1,4/24/2021,14.28307406,-90.78833064,Volcadura,1, 28.45 
12/19/2018,Granel,Gasolinera Maranatha,14.54285361,-91.42735216,Ruta 3,Zona 3,12/19/2018,14.54035737,-91.42601823,Volcadura,1, 23.91 
1/7/2021,Vacío,Chalet Tehuantepec,14.20061408,-91.10611226,Ruta Interna,Zona 2,1/7/2021,14.22056683,-91.10116563,Otro,1, 25.17 
1/11/2020,Vacío,La Horqueta,14.24276441,-91.36289528,Ruta 3,Zona 3,1/11/2020,14.33126702,-91.05329212,Otro,1, 24.34 
2/15/2019,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,2/15/2019,14.24123845,-91.19547423,Volcadura,1, 25.62 
1/22/2021,Granel,Cuesta De Palafox,14.46266878,-91.3925105,Ruta 3,Zona 3,1/22/2021,14.43511516,-91.38389129,Colisión,1, 28.71 
