TransvisadoID,FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,Ubicacion,TipoAccidente,Procedencia,Destino,FechaLiberacion,DañoInfraestructuraVial,Observaciones
067DC09C-055E-4491-A07A-F09226A46C35,00:00.0,Vacío,Cuesta De Palafox,14.46266878,-91.3925105,Ruta 3,NULL,15:00.0,14.48055088,-91.3961231,Km140+700 CA2 Occidente,Colisión,Ingenio el Pilar,Finca Rosario Moca,00:00.0,NULL,El Suitch lo realizan en el doble carril que está en construcción de la carretera por Ingenio palo gordo.  El tráfico lo coordino personal de la PNC y banderilleros de ingenio el Pilar. La información de los pilotos particulares no fue proporcionada por los agentes de la PNC.  Los 3 pilotos salieron ilesos del percance.
38BDC685-445A-4527-B008-B3C57C9870B1,50:00.0,Mecanizado,"Circunvalación Reu, Restaurante Flor Azul",14.53393866,-91.67397993,Ruta 3,NULL,50:00.0,14.53187979,-91.6780509,KM.187+400 RN-9S Entrada la Verde,Otro,Finca Las Delicias,Ingenio Palo Gordo,NULL,NULL,"La unidad llevaba una jaula y un dolly, al lugar se presento el seguro y un electricista para arreglar los daños"
0DEF7459-D445-4E3B-A623-953DF43D2735,15:00.0,Granel,Entrada A Caballo Blanco,14.42019864,-91.81868845,Ruta 3,NULL,15:00.0,14.41792296,-91.82151737,KM.207+400 RN-9S,Colisión,Finca Nueva Linda,Ingenio El Pilar,30:00.0,NULL,La Moto era nueva no portaba placas no huvieron mas datos  El piloto y la unidad fueron consignados
D1EF0B0E-BF4F-4773-85D5-D1444EB4855B,20:00.0,Granel,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,NULL,00:00.0,14.21238938,-91.22757454,90+000 ca2 occidente,Volcadura,tarros,Ingenio Union,50:00.0,NULL,La llanta de la jaula cólera callo a una cuneta que está a la orilla eso pido causar la volcadura
7DA67154-C122-4E28-A12B-BBEB4564E756,00:00.0,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,NULL,30:00.0,14.56946459,-91.6667754,Km.182+500 CA-2 Occidente,Colisión,Finca Xelaju,Ingenio El Pilar,NULL,NULL,NULL
0395E999-304E-49A4-A549-A529F7CCF038,15:00.0,Granel,Puente Pepsi,14.2825607,-90.78731383,Ruta 1,NULL,10:00.0,14.28307406,-90.78833064,62+100 ca9sur,Volcadura,Finca La Luz,Ingenio Trinidad,NULL,NULL,"Retorno puente pepsi cola o puente de palo, el tráfico fue coordinado por pmt de escuintla, provial y señalistas de ingenio trinidad"
B2B15974-3F39-45F0-8751-D24AF00C6B9F,36:00.0,Granel,Gasolinera Maranatha,14.54285361,-91.42735216,Ruta 3,NULL,25:00.0,14.54035737,-91.42601823,KM.149+100 CA-2 Occidente,Volcadura,Finca Monte Video,Ingenio El Pilar,NULL,No,Personal del pilar coordino para que circularan los dos carriles pues avia congestionamiento vehicular por bacheo en CA-2 San Bernardino. El Camion es de finca particular. Las llantas se miraban deterioradas
0BA39AEC-D564-40C8-B54E-E4F76E11C529,53:00.0,Vacío,Chalet Tehuantepec,14.20061408,-91.10611226,Ruta Interna,Zona 2,35:00.0,14.22056683,-91.10116563,104+600 rd5,Otro,Ingenio Santa Ana,Ingenio Madre Tierra,NULL,NULL,NULL
D8003F2A-44A1-4402-B4CB-A8DCAEC4CE0C,00:00.0,Vacío,La Horqueta,14.24276441,-91.36289528,Ruta 3,NULL,40:00.0,14.33126702,-91.05329212,km. 148+800 RD-27,Otro,ing. Palo Gordo,Las Trochas,NULL,NULL,Causas del accidente: fallas en el loro del semirremolque. El piloto no se encontró en el lugar debido a que sufrió crisis nerviosa fue trasladado al IGSS. Personal del ingenio Palo Gordo estuvo coordinado el tránsito. (No se hizo congestionamiento vehicular). PNC Estaba en el lugar. Seguro  del vehículo estuvo presente para llegar a un acuerdo y arreglar daños causados por dicha jaula
BF7BD9D1-CB5B-48EC-B273-AA4723452184,18:00.0,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,30:00.0,14.24123845,-91.19547423,Finca la platanera el jabali,Volcadura,"Frente 31,las Lomas",Ingenio Magdalena,NULL,NULL,"Cuando llegue al punto de lo sucedido ya estaba tirada la jaula, fue arrastrada como ha 5 metros porque el piloto no se habia dado cuenta de la volcadura , el camion se adelanto ha unos 500 metros  ala espera qe recogieran la jaula y la caña, lo dañado solo fue ha plantaciones de caña , ya no circularon  los cabezales debido ala volcadura desde las 5:30pm ha 6:53pm."
E2AEDEC6-66B2-4D77-B95E-C243F8E5F081,30:00.0,Granel,Cuesta De Palafox,14.46266878,-91.3925105,Ruta 3,NULL,30:00.0,14.43511516,-91.38389129,Km.138+800 CA-2 Occidente,Colisión,Finca. San José Buena Vista,Ingenio Palo Gordo,45:00.0,NULL,NULL
